id,bene,libro,provincia,comune,compilazione,href,categoria
130,Tradizione Melodico-Musicale Belliniana,REI - Libro delle espressioni,Catania,Catania,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/91,Espressione musicale
131,Albero Falcone,REI - Libro delle celebrazioni,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/60,Celebrazione
132,Portella delle Ginestre,REI - Libro delle celebrazioni,Palermo,Piana degli Albanesi,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/62,Commemorazione
133,Lancia Pantesca,REI - Libro dei saperi,Trapani,Pantelleria,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/153,Tecnica artigiana
134,Percorso delle Cento Fontane,REI - Libro delle espressioni,Messina,Sinagra,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/100,Espressione
135,Percorso: la Strada dei Palmenti,REI - Libro delle celebrazioni,Messina,Sinagra,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/133,Saperi
136,Celebrazioni e Riti della Settimana Santa,REI - Libro delle celebrazioni,Ragusa,Scicli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/70,Festa/Cerimonia
137,Festa del Cristo Re Risorto,REI - Libro delle celebrazioni,Ragusa,Scicli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/71,Celebrazione
138,Festa della Madonna delle Milizie,REI - Libro delle celebrazioni,Ragusa,Scicli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/72,Festa/Cerimonia
139,Canzoncine in Onore di Maria Santissima,REI - Libro delle espressioni,Ragusa,Scicli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/112,Espressione
140,Festa di San Giuseppe con Folkloristica Cavalcata,REI - Libro delle celebrazioni,Ragusa,Scicli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/73,Festa/Cerimonia
141,Coltivazione del Sale nella Salina Culcasi,REI - Libro dei saperi,Trapani,Paceco,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/152,Tecnica artigiana
142,Festa di San Nicola di Bari,REI - Libro delle celebrazioni,Messina,Gualtieri Sicamino',Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/33,Festa patronale
143,Nocciolata,REI - Libro delle celebrazioni,Messina,Gualtieri Sicamino',Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/34,Festa patronale
144,Pesca del Pesce Spada nello Stretto di Messina,REI - Libro dei saperi,Messina,Messina,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/130,Tecnica artigiana
145,Pesca del Tonno a Favignana,REI - Libro dei saperi,Trapani,Favignana,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/151,Tecnica artigiana
146,Festa della Madonna Bambina,REI - Libro delle celebrazioni,Trapani,Calatafimi-Segesta,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/82,Festa/Cerimonia
147,Festa di li Schietti,REI - Libro delle celebrazioni,Palermo,Terrasini,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/66,Festa/Cerimonia
148,Arte Orafo-Argentiera Palermitana,REI - Libro dei saperi,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/142,Saperi
149,Antonino Amato: Maestro Argentiere,REI - Libro dei tesori umani viventi,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/175,Tesoro umano vivente
150,Festa di Maria Santissima dei Miracoli,REI - Libro delle celebrazioni,Caltanissetta,Mussomeli,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/5,Festa patronale
151,Performance Musicali  di Laura Mollica,REI - Libro delle espressioni,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/105,Espressione musicale
152,Festa della Pomelia,REI - Libro delle celebrazioni,Catania,Riposto,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/19,Festa/Cerimonia
153,Lavorazione della Pietra Campanedda,REI - Libro dei saperi,Trapani,Salemi,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/155,Tecnica artigiana
154,Pesca e Salagione del Pesce Azzurro,REI - Libro dei saperi,Agrigento,Sciacca,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/120,Saperi
155,Arte della Ceramica,REI - Libro dei saperi,Palermo,Collesano,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/135,Tecnica artigiana
156,Tecnica del Filet e del Ricamo,REI - Libro dei saperi,Palermo,,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/137,Tecnica artigiana
157,Tessitura con Telai Storici,REI - Libro dei saperi,Palermo,,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/138,Tecnica artigiana
158,Ballo della Cordella,REI - Libro delle espressioni,Palermo,Petralia Sottana,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/106,Rappresentazione/Spettacolo
159,"Franco Liberto, in arte Ciccio: Artista delle Calzature",REI - Libro delle celebrazioni,Palermo,Cefalu',Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/171,Tesoro umano vivente
160,Ciclo Produttivo della Manna,REI - Libro dei saperi,Palermo,,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/139,Tecnica artigiana
161,Salvatore Patanè: Etnostorico,REI - Libro dei tesori umani viventi,Catania,Sant'Alfio,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/163,Tesoro umano vivente
162,Pantomima: u Pisci a Mari,REI - Libro delle celebrazioni,Catania,Aci Castello,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/7,Rappresentazione/Spettacolo
163,Festa di Maria SS. della Catena e S. Michele Arcangelo,REI - Libro delle celebrazioni,Messina,Librizzi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/35,Festa patronale
164,Festa della Diavolata ed Angelicata,REI - Libro delle celebrazioni,Catania,Adrano,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/9,Festa/Cerimonia
165,La Volata dell'Angelo,REI - Libro delle celebrazioni,Catania,Adrano,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/10,Festa patronale
166,Trofeo di Poesia Popolare Turiddu Bella,REI - Libro delle espressioni,Siracusa,Floridia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/113,Evento letterario
167,Arte del Maestro Ierna,REI - Libro delle espressioni,Siracusa,Floridia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/114,Espressione musicale
168,Platimiro Fiorenza: Maestro del Corallo,REI - Libro dei tesori umani viventi,Trapani,Trapani,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/177,Tesoro umano vivente
169,Fiera Mercato per la Festa di Sant'Alberto,REI - Libro delle celebrazioni,Messina,Sinagra,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/86,Festa/Cerimonia
170,L'arte di Rosita Caliò,REI - Libro delle espressioni,Messina,Sinagra,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/101,Pratica espressiva
171,I Monumenti della Natura,REI - Libro dei saperi,Messina,Sinagra,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/134,Saperi
172,Realizzazione Artigianale del Marranzano,REI - Libro dei saperi,Caltanissetta,Resuttano,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/143,Tecnica artigiana
